,comments
496,He reminds me of Obama. He truly believes that he's intelligent.
497,13k thumbs down 4.8k thumbs up. WOW
498,Wow starting off with victim blaming.
499,There is an amendment that should be used in this situation and it’s the 2nd.
500,"As a Veteran, i am angry, depressed, feel helpless. We had this drilled into our heads, NO PERSON LEFT BEHIND!! Biden dropped the Bowling Ball"
501,Plus he says he ended the war excuse me slow joe you surrendered 20yrs for what and now you act tough your worse than these internet keyboard gangsters.
502,Passing the buck isn't a sign of good leadership
503,This is a recording... Why do I have to wait 2 minutes in silence for the President to psych himself up in the back?
504,Love the Taliban and Isis fighters coming on over
505,Why does he contradict himself in the same speech? Are we sure he's okay?
506,Is this real life right now?
507,"Let's recall who STARTED this failed war, shall we?"
508,"@4:00~ The President states April 2021 was when HE determined to pull out of Afghanistan in April 2021, even though in other RE PORTS he's known to have blamed the previous President for his foreign policy decisions that led to HIS being forced to leave with a deadline of August 31st. So now we have from the President himself his admission that the dramatic and historic motions UN like anything since the Korean War, still without truce, are his UN less he forgot to give credit to the State Dept. or CIA. The ball has been in RE VERSE motion for another Q WART TARE & EYE haven't seen the ball carried forward since WWII."
509,Sounds like he’s reading a laggy teleprompter
510,can't watch him for more than a couple minutes.
511,I thought he did a good job 👀 👍#blkprgrsv21
512,We don’t forgive???  I thought it was we forgive but never forget I guess I’m wrong on that
513,Once a fraud always a fraud.
514,This guy is completely oblivious or an agent to coup.
515,This is when families are having funerals
516,Sounds like hes praising the exit/evacuation.   so does that mean trump gets all the credit?   last week he said this was trumps plan.
517,Impeach Biden
518,"The Hell with Truth, Honor, Accountability, now look, it's a done deal, it's lunch time, then a nap."
519,"Great stuff from yourself and that other eejit Johnson now you both have to sit around the table with the Taliban,and they....pardon the pun....Will be calling the shots this will go down as one of the biggest balls ups in history,hundreds of years from now if mankind is still here history students will be going ""They did what."""
520,I’m so confused on how this is our president. What is life?
521,"Seriously, the problem with 9/11 was not Afghanistan but the controls at the US airports. And secondly, who wants to defend the west if some people fly into universe with private means and some live on the streets."
522,9th year of being at the highest level of the executive branch. you can tell it has worn his ass down. But he needed 4 to 8 more years of greed and power.
523,"US was spending $360/millions per day for each day in Afghanistan (over 20 years) it was the right decision to end the war, just not like this."
524,Don’t assume anything when you are the President of the United States.
525,I'm patting my self on the back for a job well done. Anyhting that went wrong is someone else fault.
526,NOW WHAT ARE THOSE AMERICAN GOING TO DO BACK IN AMERICA? BE HOMELESS ? OR HATED BY THEIR COMUNITIES ? BECAUSE MOST  AMERICAN DONT HAVE ANY COMPASSION OR TOLERANCE FOR DIFFERENT  AND NEW PEOPLE IN THEIR NEIGHBORHOODS.
527,He needs to be resign or be impeached
528,"So in simple terms, we now negotiate with terrorists :)"
529,Every time people wrong him they end up looking stupid at the end throw your towel in  this administration needs to tell the people who punished him for the terrisoms act from 1976  throw your towel in ! Or risk embarrassing yourself for wrongful punishing him 😡
530,Should have left 19 years ago. This withdrawal was horrendous. This is an excellent example of denial.
531,he gets more and more into trouble with each day that passes
532,"The only thing on Biden’s mind is, how much Hunters Paintings will sell for!"
533,God knows Hunter wouldn't leave all that military equipment in Afghanistan cause he could cluck it off to the local crack dealers
534,Trump where are you ? we need you now.
535,Here's to you president Biden and your cabinet. Get the ****(OUT)!! Cowboy up America🤠☝🦅
536,Withdraws are complex for USA because we are not used to RUNNING AWAY
537,"Joe, ya got any extra Blackhawks?"
538,Trump 2.0: incompetent and irresponsible
539,Go Joe! And go back to Scranton! You can ride the train home.
540,I feel like I’m watching a really really really terrible movie 😭
541,Impeach Joe Biden
542,"Anyone old enough to remember Mr. Magoo, a man oblivious to everything around him, he's just like ""Geritol Joe"" Biden."
543,I cannot believe there was 4600 people who actually believe the ship is coming out of his mouth right now
544,"Where was he the first two minutes??
Running around the White House lost again 🤷🏻‍♂️"
545,Lmaooooo I can’t take him seriously anymore
546,I cannot STAND this man.
547,Impeach Bidenn
548,#OhAmericaTheMiniPower
549,Our Feckless leader.
550,"I take full responsibility except: The Americans in Afghanistan are at fault they didn't get out and we told them since March,  the last president is at fault, not my fault!!  Can you see how impassioned I am how intensly I am speaking!  He should leave the presidency."
551,@19:30 he for sure didnt realize what he was saying. Smh.
552,Wow I haven't found a single supporter in the comments. Where did they all go? Does everyone feel stupid now? 🤔
553,You need to jump too many mental hurdles to justify this disaster.
554,14:21 I'm not sure what to do with my hands.
555,When the ratio is this bad on CNBC it's impossible to hide that this is an administration that's in crisis.
556,"This guy needs to be removed from White House. Everyone is suffering cause of him. We the people of Louisiana cannot get supplies because of this president. We need food, ice, and most importantly gas. We have to travel or wait hours for fuel and when you do find fuel it’s expensive. Joe Biden must go. We cannot handle four years of this administration"
557,Not him stuttering in the middle of his threat...
558,Lifted then all+ an airmiftairlift for remaining Americans
559,This guy is so far gone
560,leaving $85 billion worth of military equipment to the taliban seems a lot like the definition of treason
561,"“Im pulling us out. I’m taking all the credit” 

Fails...."
562,I voted for him. I’m glad and I’m proud.
563,"I wish Joe and other politicians had to actually face and answer to all Americans and not some fake news uh, I can't even remember what the word is for news people..."
564,#PINO the installed Resident
565,"This is like a doctor saying ""the surgery was a success, i removed the tumor. The patient is dead by the way""."
566,"""Success?"" 13 Military members died! This wasn't success. If he didn't sneak the military out in the middle of the night, this wouldn't have happened. Not questioning the withdraw but the sequence was idiotic!"
567,He do better just to give his resignation speech
568,"Loser didn’t say anything about billions of dollars of ammonia, firearms, ordinance, equipment and heavy machinery…."
569,His fault
570,He is  So PAINFUL to listen to.
571,Long live Donald Trump
572,Maybe pols should learn to apologize and show some humility
573,What about all the Weapons and armoury you gave up and left behind.? If the Tailban ever do kick off again their gonna have air support along with state of the art weaponry 🤦‍♂️ how can anybody in their right mind be OK with this ?
574,Bruh I was tripping cause that look like a whole painting 😂
575,This man has no idea how much he is hated and despised. He hasn’t got a clue.
576,This Speech made him look silly. Hes just trying to talk himself out of the situation
577,"No, the assumption was that you would get ALL Americans out and that you wouldn’t hand over so much military equipment to the Tolly-Bon."
578,20 YEARS OF WAR FOR WHAT? IT'S A SHAME. POOR PEOPLE ABANDONED THERE ALONE WITH THE POWER OF SOME BARBARIANS....FOR WHAT? HOW DID THEY GET IN KABUL SO EASILY?
579,He’s a demented old man he needs to be court-martialed along with his party!
580,"Leave Americans, Service Animals, and 85 billion dollars of equipment. Well done Mr Magoo"
581,Democrats still believe this?
582,LMAO 🤣.  Every comment on here is trashing him.  Love it.  He won? LMAO 🤣.  Ya.  OK 👌
583,Absolutely disgraceful.
584,Get him out of there!!!!!
585,"Joe Biden: Senator during Saigon,
VP during Benghazi,
President as Kabul is taken"
586,I'm just glad this nightmare is over. Afghanistan is a failed state with no economy and infrastructure riddled with terroristic forces. That war would've never ended unless we committed a genocide
587,"I agree it was going to be messy but cmon man did you have to leave all our war junk to the durka durka durka's. blow up all our guns, vehicles and yes burn our uniforms."
588,His dentures were doing as much dancing in his mouth as he was dancing around the truth...
589,14 thousand dislikes…. 5 thousand like 🤣
590,"WOW! If you put it on 1.25 speed, he sounds TOTALLY normal!"
591,"Yes, walk away Joe, showing again the American people so well the side of you they have come to know so well, your back."
592,Got money 4 WARS but can’t FEED THE POOR!
593,The worst lying speech I’ve ever heard.
594,Whats with all the dislikes?
595,"Biden is the ""L"" that keeps on giving."
596,"So we took 115,000 Afghans and 5,500 Americans = America last. Thanks Joe, NOT."
597,"ending? he didnt end s&$t , now this mess will never end ,"
598,This is how a President of the United States should sound like.
599,The United States ended 20 years of war in Afghanistan? Is that what happened?
600,"""Evceation"" can't even pronounce the damn teleprompter words!   What a disgrace blaming those you clearly left behind..""the world is changing"" what should change is you being  President Joe!"
601,4:00 this assumption was not accurate
602,"Evacuation Was a big mess; people who had no relation to USA or NATO members, nor were they any ""vulnerable persons"" (whatever they defined it), launched in the planes. Mostly young Afghans who were store owners."
603,When does this guy go to jail?
604,"Il reste que c'est un pays qui donneras encore longtemps une peur d'anarchie et une impression d'actes de violence, d’enlèvement et autres toujours possibles et imminent. Devenu plus près du monde ""en connaissance du pays par les médias et documentaires"" depuis cette ""guerre"" au terrorisme (et a la drogue ?). Redevenant isolés comme la plupart des pays de la .stan (terminaison de nom de pays - leurs associations, coalition tribale actuelle et anciennes peu documenté), coopérants des pays du nord et autres joignant possiblement une forces (manipulable, piratable par..?) déjà qu'asi renouvelée. Ce n'est plus un pays ou le tourisme viendras de si tôt, ce qui est un moins bien plus pour l'apport financier en $ étranger et cette coupures avec le monde, renouvelée. Situation nuisant présentement, certainement aux rêves de plusieurs qui se voyaient plus libéralistes dans une liberté individuelle a bâtir dans un pays en droits minimum et identité culturelle, comme les autres. Futur simples citoyens conscient, travailleurs individuels et naturels a la sociologie du pays s'éloignant peut-être un peu plus de leur exemple démocratique convoité ""a leurs manières"", mais se devant toujours d’être universellement compréhensible aux yeux du monde et en respect des droits individuels de la charte planétaire des droits humains -ONU. Dure de pensée démocratie et libre expression avec un pouvoir fermé et intouchable encourageant la culture de la drogues, donc indirectement ou directement ; de la corruption, charia ou pas (-2?)..."
605,"Every time he finished his presentation - he turns his back on all of us…. And, just walks away. How rude. I’m offended."
606,Joe needs to step down as President it’s the only logical solution
607,"Well you gotta give him credit for finding a way to ""end the war"" that ensures we'll be fighting in Afghanistan for another 20 years. Clever..."
608,"Ah, it is the previous guy's fault ..."
609,Well done 👍 Mr President. How it's feel to see a real President talk..
610,"Talking points to keep repeating.  It is all Trump's fault.  I only had two choices.  It was the right decision.  It is all Trump's fault.  ohh, and do not take any questions."
611,You have blood on your hands!!!!!   Lie's is all that comes out of your mouth!
612,Shame on Biden !
613,He’s even a bad liar !!
614,Is the border secure yet?
615,I'm just waiting for Dementia Joe to slip up and call them the 'tollypops'
616,Not to mention I gave the taliban $90B worth off our weapons. That should make us safer.
617,"9:40 They gave us a deadline....the USA a deadline.   So you negotiated with terrorists, and ran like a coward.  
We the people do not get threatened and run.  Commander and chief needs to step down to this cowardice"
618,"Those Afgan people didn't need to be evacuated, as the Taliban stated numerous times, they won't harm any of their people.
But I guess they will be loyal Democratic voters, so why not."
619,You can give free rides to afghans but not to US troops?
620,Headline should read “Biden discusses US full Surrender to taliban”
621,"3.5 trillion = 0, the border is secure and Afghanistan was a success... what an absolute clown."
622,They try to say his win was legit …how tf…?
623,As we literally abandoned Americans.  Why is this man not impeached!!
624,This man needs to be in a nursing home
625,Success?  I'd hate to see what he constitutes ad a failure....  How many left behind walk away Joe?
626,"RESIGN
EVERYONE FROM THIS ADMIN MUST RESIGN"
627,"Here is the deal that Trump made with the Taliban a deal that was good for America. It was a conditional exit from Afghanistan. In a nutshell.  First the Taliban had to reject Al-qaeda full stop. 2nd Afghans and Taliban come together and negotiate peace. 3rd, the US would have special forces on the ground during the process for counter terrorism. 4th, pres Trump told the Taliban leader himself that if American interests or an American was harmed he would unleash the full fury of the DOD on Afghanistan."
628,I don't usually run like a scared dog with my tail between my legs but when I do I make sure I run from the tollybon.
629,“Ending the war” or Talibans most successful war victory in history… 🤔
630,We know where our weapons caches are. We know where our vehicles are. We know where our aircraft is at. Why has Joe not cleaned that mess with drone and air strikes already?!?
631,Biden is our Great American President and telling the truth.
632,Amercuans lost war from those people who don't have even complete set of shoes in their feet
633,That's why you can't assume anything you have to know
634,"Its like a doctor coming to you and saying ""The surgery was successful, but the patient died"""
635,You did a poor job of getting out and left behind to many of our weapons.
636,Oh so the UN made another edict that no one will follow? That’s cool. I guess that “edict” will go with all the other ones on the desk.
637,Great decision by Biden. Loving the job my president is doing.
638,Notice how quiet the far left is right now.
639,Did he just say success of this mission???!!!
640,"Our American service dogs were left behind, abandoned on the streets of Kabul. What kind of administration does that?"
641,And yet all you could do was to talk about YOUR Son when you met with the families of those 13 fallen soldiers
642,Dont forget your mask joe .
643,"https://www.youtube.com/watch?v=LA3uV_YXZAk

https://www.youtube.com/watch?v=og6bi3cgf5g

https://www.youtube.com/watch?v=0BVRhsqHE5M

https://www.youtube.com/watch?v=vHLKFSWzImk"
644,"What a freaking fool !
But Hey.
No mean tweets, right ?
SMH"
645,Prolly doesn’t even know he already killed innocent children
646,Joe Biden comes out 
647,Delivers remarks=reads teleprompter
648,Pretty sure half the country is waiting for someone to cross the Rubicon.
649,Where’s Hassan abi at I need a reaction ASAP
650,"THIS ADMINISTRATION IS THE WORSE EVER. IF ALL OF YOU KEEP SUPPORTING THIS KIND OF POEPLE WE ARE  GONNA HAVE NO MORE UNITED STATE OF AMERICA, THIS WILL BE UNITED STATE OF CORRUPTION."
651,Can we trust this man with going against China? I hope he doesn't abandon Taiwan like this
652,Since when is running away ending the war..... that just means you lost
653,Let the chips fall were they may here if the people who punished Kendall for other people terrisoms acts and they became victims of this covid situation don’t say I didn’t warn you to throw your towel in
654,Did he said he trust the taliban by action.
655,"You didn't end the war, you just started an even bigger war. You will now fight for lost territory just like what happened in Vietnam (failed) and in Korea (sort of failed) History repeats itself. No wonder he said ""god bless our troops"" on inauguration day. May god help them."
656,Why did we give the Taliban all those weapons
657,Trump 2024
658,Dude sounds like he’s trying so hard to sound charismatic and presidential between each WORD. He Looks an sounds like me reading off the letters in a eye exam
659,YOU JUST HEARD A SPEECH FROM HIS SPEECH WRITERS AND HE READ IT AND LEFT.  THIS IS THE POTUS A SENILE OLD MAN.  SAD!!!!
660,"Wait... You  decided to end this? I thought you said ""Trump started this"". Which is it?"
661,"Biden you didn’t choose to end anything, that was Trump. But never underestimate Biden’s ability to take credit for what others set in motion. This dude is a disgrace to our country."
662,Biden gets on my nerves not answering questions. we need to get another president I think he needs to be impeached he not done anything to help the United States 😡😡😡 at least Trump  stood up for the people
663,He's reading a script all time?
664,"YOURE KILLING US bIDEN!
RESIGN!!!"
665,"""This is your fault, everyone except me."""
666,I sm suprised bidumb us still alive
667,So it's no longer my body my choice said Hitler I mean biden
668,"Better check your watch Demented Joe, Mattlock is on in a half hour!"
669,Biden quote: No young girls behind left behind!!
670,And you left them to be murdered.  You did that
671,2:14 you are welcome
672,He needs to go
673,"again, walking away Biden"
674,Joe what time is it?
675,"A hollow man with dead, drugged eyes spouts hollow words as thousands wait to die. This is America now."
676,He's calling this a success???
677,At least he doesn't send mean tweets.
678,"20 years ago: “Never Forget”
Now, Sleepy Joe: “What?”"
679,"I mean he rushes an evacuation for political reasons, leaves so many behind!!! Which leads to a suicide bombing and he has the nerve to blame the hostages.. I mean this is literally insanity!!!"
680,"I can't believe anything his speech writers say anymore.  Lies, twists, blaming others, wrong information......c'mon man."
681,"That old guy can't even walk correctly. Give him a wheelchair and roll him out of the white house. We need a new strong, confident president who will make other countries tremble."
682,This must be what he meant by truinernationapressure.
683,how can this clown just turn and walk away
684,You wasted our 85 billion dollar tax money🤬.Give my money back.
685,So what calendar is he looking at? Isn't there a month or 4 between May 1st and August 31st?.. how can you use that as your deadline when you passed it?
686,Does he ever not look at a screen?
687,I can't believe that this person is the President of the United States.
688,God bless our president Joe Biden and God bless America 🇺🇸 🙏
689,Never been more proud than right now to say that I did NOT vote for this clown.
690,I'm sure there are at least 80 million voters who believe all his lies...sure.
691,Pray??? Pray to who Joe??? We know your with the other guy!
692,Ol’ dopey Joe has done it again.
693,"THANK YOU MR. BIDEN, THANK YOU, FINALLY GOOD WORDS CHOSEN WITH INTELLECT, FANTASTIC THINKING, THIS IS AMERICA AGAIN. GOD BLESS THE USA. GOD BLESS JOE BIDEN PLEASE."
694,"He’s just tapping, does anyone even know what he’s talking about, dude has no energy, no charisma, no comprehension"
695,Why did you have to send 6000 troops back?  Shows that your entire withdrawal was a disaster..
696,So what about the 85 million dollars+ in supplies and vehicles? Must be a reason behind why dislikes are higher versus likes
697,It’s the blaming Trump for his screw ups for me
698,"Incidentally, the success of the Taliban in the occupied part of Syria, Idlib and Afrin, was enthusiastically celebrated by the Turkish and their allied Islamist terror groups and Islamist mercenary troops there!  Financed, equipped and supplied by Germany, the EU and the UN!"
699,we agreed the war must ended but we don;t agree with how you handle to end it.  Also what kind of American are you to get hundreds of afghanies out but left our fellows american behind????  Shame on you.
700,If we have so many terrorist organizations why do you have an open border Joe?  You just said your job is to protect Americans and the borders still open!!!!
701,this guy sounds like he's drunk.  what a roberrry.
702,#impeach46
703,"We surrender, said the sleeping dude."
704,Wtf was that MASSIVE jaw twitch @2:50 ?? This man is clearly loosing his dam motor skills
705,A President should never ASSUME Joe …and seriously? You’re blaming people for not getting out ?
706,Now we will have serious treats on the US..bottom _______
707,He was not ready for the afgan army to roll over he was suprised.
708,Trumps army mad at this one.
709,"Is it me, the White House camera, or is Biden looking a little orange too?"
710,It's gross that he's patting himself on the back for the disaster he created in the rushed/botched withdrawal.
711,好看
712,Your responsible for the death of innocent’s.
713,???? Pray good for the victims of former Afghanistan.
714,Got ratio'd
715,UNFIT TO BE POTUS OF USA. He thinks his failed exit was a success. That speaks volumes.
716,Looks nice
717,STOP LYING TO ME!!
718,"The last time he botched a pull-out this bad,  we got stuck with Hunter!"
719,"Ending the war? No. 
Ran away like a dog with its tail between its legs."
720,What exactly does he thinks his audience’s IQ is?
721,What do the Biden supporters have to say now???
722,Everything Joe touches turns to crap.
723,No wonder his poll numbers are plummeting.
724,"He is incompetent, bring back mr trump"
725,He thinks he ended a war. He may of just started a new one.
726,"9:39 I thought the ""Buck"" stops with you! Why would you care what a fat orange man did before you? Your in charge, or maybe you forgot you were in charge."
727,The way he turns his back to all the questions and walks away just doesn’t sit right with me
728,What a weak old man . I feel sorry for world  strongest country .
729,can anyone else see how hard he squints to see that teleprompter????
730,he cut and ran. he's blaming trump for his failure
731,You actually believe the Taliban. You truly do
732,To a future more secured… yeah sure
733,Million dollar weapons worthed American army in Afghanistan he should fight Taliban
734,The missing students from California? Who care right? Worst president ever
735,"Breathtaking.  This oh-so-feeble old man stumbling out and preening through a pack of lies.  Joe:  you did a terrible, awful, catastrophic job."
736,"Has he forgotten about 9/11? He knows that was the Taliban, right?"
737,malfeaceans? That was an insecure move.....you lie you lie you lie!
738,Wouldn't it be better for everyone to show text from the teleprompter instead of putting that poor actor on stage?
739,What will he screw up next?
740,"We are not all sheep, We will not believe these lies, WE KNOW THE TRUTH. WE THE PEOPLE."
741,"Joe Biden 
18 U.S. Code § 2339A - Providing material support to terrorists"
742,Biden should go to Afghanistan and get our Hostages.
743,"""WOKE"" is the scourge of the earth...."
744,What color is the sky in his world?
745,And another thing he's working his ass off to disarm Americans while he just armed the Taliban kind of funny isn't it
746,Some cry baby Karen must have complained to yourtube and got me silenced. Trumped I should say. Thats OK change the email and the name were good to go
747,Only a heartless man could abandon all of those people Afgan Or American Every Life has to have meaning. We stood United and Repelled the Taliban for years Standing to our Duty that is Righteous to Defend any Man Woman or Child with the Moral Right to be Free. Not just as a Nation Does this Duty hold Merrit for we as humans should not stand for such an injustice. Why let innocents die and suffer for your Petty Pride. Why not do the Right Thing.  
748,"Biden stop with your ""ifs"""
749,"If you ever have bad insomnia, put this video on you’ll be fast sleep"
750,"Wow, what a speech! . . . shifting blames, political deceits, wanton denials and self-conceited lies."
751,No questions from the media joe?   You coward
752,"So much people dislike about literally anything these days, the war is finally over."
753,They must have pumped him up with some Methamphetamine. This guy is yelling today.  That or he just had a good nap.
754,"I need not tell you the perception around the world and in parts of Afghanistan, I believe, is that things are not going well in terms of the fight against the Taliban,” Biden said. And there is a need, whether it is true or not, there is a need to project a different picture.”"
755,Wow…I have no words for this one 🙄🙄🙄
756,"If people thought Trump's speeches were comical, Biden's speeches are just plain tragic. It is so cringe worthy to watch him trying to read the teleprompt. All these broken sentences and weird pauses. His mental capacity is not enough to even read coherently."
757,This guy sucks are you with me!? Bring Back the Donald enough of this!! 🤬
758,When he whispers at the end..its major creepy..creepster.
759,biden  good job  ! 恭喜美国人民选择了一位好总统😂😂😂😂😂😂
760,Investing in  Bitcoin now is the wisest thing to do now especially with the current price Despite all the economic crisis this is the right time to start up an investment
761,America has a responsibility to never  allow another Democratic party to get elected. What a disaster.
762,What's the number of Americans and equipment left behind on your behalf?
763,Is he REALLY slurring his words or he doesn’t want us to know what he Utis saying?
764,BIDEN 🤡
765,You’re full of lint. You laughed and said the Taliban had no chance of taking over Afghanistan.
766,"CNBC Not showing the ‘dislike’ number?! Despite that, the comments speak for themselves!"
767,What a embarrassment.
768,Training them to use what exactly?
769,The taliban now have an air force coutsey of obiden
770,People always go first then the troops
771,"I can pick apart this speech into so many pieces, it isn't even funny."
772,Comments of Americans disproving are not thinking long-term. He did the right thing
773,You make the country weak
774,Another vietnam another loss what an embarresment.
775,All this dude does is lie and try to cover up his errors. He's a disgrace.
776,What a great tramp this was hmmm the world is laughing at us in the sky saying this is a great try them
777,This was a disgrace
778,i came here for the dislikes...who's with me?
779,He sounds more drunk than usual. Hmmm
780,Why does this disaster still have a job
781,Naw bro you just ran like the president of Afganistan.
782,DON'T YOU DARE ACT LIKE YOU CARE
783,What failure looks like
784,You know what they say about assumptions?
785,"""why wasn't this address done in prime-time?""...ever heard of sundowner's syndrome?"
786,"Interesting to consider how you would go about writing an address like that one.  It has to be about that length I imagine, given the loss of life and years of duration.  Kind of strange to bring in China and Russia as characters in the drama, not like they were big Taliban cheerleaders, so it ended with a bit of a “don’t worry, we still have enemies” kind of vibe.  May have been better to have said something about 20 years of negotiation with the Taliban and a recognition that our efforts and military sacrifice built a situation in which we could leave and thank the troops for that.  Good, big political address, delivery worked well, competent team demonstrated no matter where you fall on opinion."
787,"It's  not  a lie, if you believe it."
788,"D E M E N T I A ! Congrats americans, NOW you have a ""Resident"""
789,"President Biden Keep his Promess
Truth to His Words Helpful to His
People Never Think About Using
or Puting in his Personal Account"
790,“My son Hunter is the most honorable man I know…”.   Enough said…🤬🤬🤬. This man is incapable of recognizing the truth…🤮🤮
791,"You gift taliban our arms,car,military vichels,helicopter,figher jets etc.Why?"
792,"What the Hell kind of country is Afghanistan where people are allowed to
 walk around in public carrying guns and end up shooting each other???"
793,What world change 2001 usa was Loughing in 2021 crying it's world change by the taliban alhamdliallah
794,14k dislikes for future reference
795,“Your house fire is over. We courageously evacuated 90% of your family.”
796,JOE B. MATGA! MAde Taliban Great Again!!!
797,What a joke. You dropped the ball amd left Americans and military equipment behind.
798,Instead he hides behind a hurricane.
799,"I was just at dover air force base,  CHECKING MY WATCH"
800,Smh at the people who voted for this guy
801,"""The Americans are the living refutation of the Cartesian axiom, I think, therefore I am: Americans do not think, yet they are"" Julius Evola"
802,Who’s our ally again Afghanistan or is it the Taliban
803,God Bless President Biden. God Bless America.!
804,"The Taliban is an idea, not an organization."
805,"""isis k we're not done with you yet""

Isis k: oh just drop off the guns at the front, thx"
806,Their blood is on your hands!!!
807,Clearly reading a teleprompter lmao
808,Zoom in on this guys face and watch his mouth 👀
809,CNBC for jail 2022!!!
810,Next thing you know he'll be giving nukes to Cuba..
811,we are so screwed
812,"Whether you agree or disagree, like him or hate him… this was a no win situation for any President. I can assure you, there are things we don’t know and can’t know for security reasons that affects our perspective of how this rolled out.  That being said, I believe there could have been more graceful ways to get out."
813,"Joe can Borrow the ufo tonight, said Hunter"
814,Here we go about your son.. Hell joey what did daddy say?? What a joke!
815,"Every time I see him, he looks more like a ghoul."
816,Why is he yelling at me?
817,What a pos. I’ve listened for way to long. Can’t take it anymore
818,Disgrace.  Absolute failure in the dem party
819,"A real life muppet, I mean puppet. If you look closely you can see the strings. . ."
820,19 warnings… can’t believe this man just blamed the victims like that
821,Shouldve called Rambo to win the war😂😉
822,I didnt know ISIS was attempting to create a carrot cake.
823,He is a weak little man
824,Clown festival of an administration.
825,"I cannot believe people believe anything this man says after he left our people and Billions of our equipment.
We paid with the lives of thousands of our Sons and Daughters and he walked out.
He needs to be thrown out of office and locked up like he would have done to us for abandoning our people."
826,No questions!  He had to poop!
827,They left over 40 service dogs over there which the Taliban have now claimed
828,I don't like the term 'troops' to describe our service men and women. 'Troop' is used to describe a group of chimps. This is better used to describe the Biden administration.
829,Why 19 times?
830,"I swear, if he says ""tolly-bon"" one more time..."
831,Damn!!!! He is on a good amount of drugs..
832,Remove Biden
833,"Still using the teleprompter, not sure if he knows what’s going on"
834,Joeeeee biden
835,His eyes are glued to the teleprompter.He’s lost without it
836,What a flaccid joke this man is
837,"You could have cleared out the base, evacuate all the Americans and then end the war!"
838,"Let’s just call the entire US military to return home world wide. Let’s leave the seas open to piracy, the air space vulnerable to bombings, and the world without security. 
Imagine Lord of the Rings, if the Ents didn’t attack Saruman in Isengard. Where would they be and where would the rest of Middle Earth be? As Merry states to Tree Beard “But you’re apart of this world! Aren’t you?” So I ask, aren’t we apart of this world?"
839,Nothing learned. So which is the next country or region to mess up?
840,"I want a blackhawk helicopter, but the Taliban got one before I did with my OWN money..."
841,leave our American  Government Now Biden
842,Thank you mr president for ending this bloodshed.  It's time the Afghans take hold of their destiny and build their country however they deemed fit. Enough of wasting tax payers money on something which is not fixable.
843,Defensive much?
844,Worst War ending speech
845,Rylee MCCollusm's moms said when she met him at the ceremony he started talking about Beau - his son-- she said this is not about YOU -- this is about MY SON-- NOT YOURS_- she said she would never  hear him laugh again-- she said HE ROLLED HIS EYES.       HORRIBLE
846,(*Do not be swayed by the Like / Dislike ratio)
847,This is... scary.
848,Resign Mr. Magoo!
849,For the love of God. He can't even read a teleprompter. What a shitshow.
850,"the most interesting part wast the first 2 minutes, 15 seconds."
851,ha! hes STARTING a war!!!!!
852,Absolute disgrace
853,Announce now Aman wins Ethiopia country leader up to red sea wins
854,Impeach 46
855,All that dude is worried about is his own image
856,Any day now Junior! Is he napping?
857,TRUMP 2020
858,So how's that CIA elected president working out for ya?
859,Joe your the worst commander in chief
860,This is what happens when you vote based on what the media tells you to...
861,biden : bye then
862,Investing in crypto is the only big chance of making money
863,YOU BROKE TRUMPS RULE ON THE BORDER.AND NOW YOU BLAME TRUMP FOR AFGHANISTAN.SAD JOE.REALLY SAD
864,You get inside trump.trap don't you thank you hahaha hang over history live fall Saigon
865,It's ironic that Talibiden is now the world’s number one issuer of military assault weapons without a background check.
866,Get a load of this clown.
867,What a coward
868,SHAME!
869,Did he just plagiarize barry obama?
870,Anyone else feel like he's yelling at you with a Werther's Original in his mouth? Like a drunk grandpa?
871,This guy looks and talks like he’s on verge of death?!?!
872,"Joe, you are a true American hero 🙏 Thank God for your leadership 🤝"
873,Is he the devil?
874,Remember when we had a President who would answer questions?
875,"Lmao, damn this isn't even a Fox News comment thread, but an NBC one no less! Not a single comment I read that wasn't trolling Biden...
Holy cow is this telling of how the general public views him..."
876,Thats NOT in We The Peoples national interest.
877,One Hundred Dollars like a MESS OF POTTAGE.
878,Turn the teleprompter around so we can read it
879,Turn the teleprompter around so we can read it ourselves..
880,"Uhhh “Evaky-ation”?14:39

This is what happens when you elect someone whose whole campaign was based solely on not being Trump. There were better Democrat options what happened?"
881,Correct me if I.m wrong but is this clown think that evan he has a clue on what's going on and  how many hours of trying to rehearsaul did it take him to evan get
882,20 years a massive s... show
883,Taliban ended it
884,He did the right thing
885,"“Trumps Fault.” 

Sloppy Joe"
886,resign now Biden
887,"skill, bravely?"
888,Joe's drewling
889,"Man, everybody changed their tune about this guy reeeaaal fast, huh? But hey, anybody but Trump, right?"
890,Resign Joe you are the worst leader we’ve ever had
891,"He is lying profusely. Many officials have countered his statements, yet he keeps making them. This is pure insanity."
892,"""extraordinary success"" is he high?"
893,"What is going on with his mouth? Lip smacking, tongue movements, jaw side to side. Drugs?"
894,This country is a joke. We need someone with a backbone in office
895,Let's guess what lies he'll tell us today!
896,I wonder whose turn it was to wake Joe up this time.
897,Howdy DOG Doody Joe.
898,What a mess!  Bring back Trump....
899,Chicken president ever. World is laughing at u grandpa.
900,Looking at you watch while Martyr ceremony shows how much dedicated you are toward you country old man.
901,I do not consent to American men and American women in miliary being left with Taliban.
902,Trump thick
903,"7:56 
What did he say?"
904,Lol they would not let me post negative against dementia joe
